实验类型,配置名称,实验序号,RAG检索时间(s),LLM推理时间(s),总耗时(s),Robot仿真时间(s),Truck仿真时间(s),UAV仿真时间(s),Robot成功,Truck成功,UAV成功
消融实验,no_rag,1,0.00,15.90,191.52,533.61,121.22,1.02,True,False,True
消融实验,no_rag,2,0.00,15.82,139.03,10.22,121.14,1.04,True,False,True
消融实验,no_rag,3,0.00,25.12,268.48,10.17,121.16,121.17,True,False,False
消融实验,no_rag,4,0.00,17.27,140.45,10.16,121.13,1.03,True,False,True
消融实验,no_rag,5,0.00,32.98,156.17,10.16,121.12,1.03,True,False,True
消融实验,no_rag,6,0.00,40.38,163.56,10.17,121.13,1.02,True,False,True
消融实验,text_rag,1,50.02,28.63,257.26,563.70,121.19,1.03,True,False,True
消融实验,text_rag,2,42.46,21.19,186.86,10.17,121.16,1.02,True,False,True
消融实验,text_rag,3,43.56,35.79,202.56,10.29,121.13,1.03,True,False,True
消融实验,text_rag,4,60.05,47.32,230.56,10.18,121.13,1.03,True,False,True
消融实验,text_rag,5,60.06,36.40,339.77,10.21,121.12,121.14,True,False,False
消融实验,text_rag,6,59.12,50.93,233.25,10.17,121.13,1.03,True,False,True
消融实验,graphrag,1,22.99,52.04,256.65,594.19,121.16,1.02,True,False,True
消融实验,graphrag,2,26.82,19.59,169.64,10.25,121.16,1.03,True,False,True
消融实验,graphrag,3,60.01,35.75,339.07,10.13,121.14,121.15,True,False,False
消融实验,graphrag,4,29.55,59.96,212.71,10.17,121.14,1.02,True,False,True
消融实验,graphrag,5,29.96,29.04,182.17,10.16,121.11,1.03,True,False,True
消融实验,graphrag,6,38.43,62.22,223.83,10.13,121.12,1.02,True,False,True
基线实验,graphrag,1,23.39,52.17,249.31,513.62,121.34,1.02,True,False,True
基线实验,graphrag,2,27.49,26.49,177.21,10.22,121.16,1.04,True,False,True
基线实验,graphrag,3,27.24,23.39,293.96,10.18,121.17,121.12,True,False,False
基线实验,graphrag,4,17.80,36.51,177.66,10.27,121.28,1.03,True,False,True
基线实验,graphrag,5,31.99,60.90,216.13,10.13,121.19,1.03,True,False,True
基线实验,graphrag,6,31.25,141.53,296.24,10.86,121.35,1.02,True,False,True
基线实验,graphrag,7,40.62,81.00,244.88,10.17,121.19,1.03,True,False,True
基线实验,graphrag,8,29.81,40.58,193.62,10.16,121.17,1.03,True,False,True
基线实验,graphrag,9,32.53,47.62,203.36,10.23,121.14,1.03,True,False,True
基线实验,graphrag,10,39.04,55.14,217.39,10.15,121.14,1.04,True,False,True
对比实验,baseline,1,60.02,57.83,241.04,10.16,121.14,1.02,True,False,True
对比实验,baseline,2,60.05,18.80,322.20,10.17,121.16,121.16,True,False,False
对比实验,baseline,3,60.06,38.43,341.85,10.19,121.16,121.16,True,False,False
对比实验,baseline,4,18.65,87.02,228.86,10.24,121.13,1.02,True,False,True
对比实验,baseline,5,33.28,30.57,187.02,10.16,121.11,1.03,True,False,True
对比实验,baseline,6,30.64,46.20,200.05,10.20,121.14,1.03,True,False,True
对比实验,optimized_routing,1,60.05,27.31,206.02,9.66,121.16,1.02,True,False,True
对比实验,optimized_routing,2,60.06,37.96,214.90,9.69,121.15,1.03,True,False,True
对比实验,optimized_routing,3,60.00,72.25,243.43,9.65,121.16,1.03,True,False,True
对比实验,optimized_routing,4,22.16,28.98,169.44,9.72,121.07,1.02,True,False,True
对比实验,optimized_routing,5,30.82,41.68,188.75,9.66,121.13,1.03,True,False,True
对比实验,optimized_routing,6,12.89,140.51,253.16,9.67,121.11,1.02,True,False,True
对比实验,multi_stage,1,60.01,32.42,215.64,8.63,109.04,0.90,True,False,True
对比实验,multi_stage,2,60.06,42.81,346.22,8.64,109.04,106.62,True,False,False
对比实验,multi_stage,3,60.06,50.54,354.03,8.66,109.03,106.71,True,False,False
对比实验,multi_stage,4,22.16,48.19,193.54,8.64,109.02,0.90,True,False,True
对比实验,multi_stage,5,33.27,22.96,179.42,8.64,109.01,0.91,True,False,True
对比实验,multi_stage,6,27.13,31.16,181.49,8.63,109.02,0.91,True,False,True
