experiment_type,experiment_name,config_name,display_name,prompt_index,repeat_index,agent_type,param_name,param_key,variation,perturbed_value,record_status,error_message,rag_enabled,rag_type,rag_search_time_s,rag_query_generation_time_s,llm_total_time_s,llm_query_gen_time_s,llm_command_gen_time_s,robot_simulation_time_s,truck_simulation_time_s,uav_simulation_time_s,robot_success,truck_success,uav_success,total_time_s
robustness,robustness_uav.battery_drain_rate_-50%,,,,,uav,battery_drain_rate,uav.battery_drain_rate,-0.5,0.25,completed,,True,graphrag_perturbed_-50%,4.502333402633667,8.81721019744873,48.910513401031494,8.81721019744873,40.093303203582764,10.213911533355713,2304.0,2469.58,True,True,True,75.61038827896118
robustness,robustness_uav.battery_drain_rate_-30%,,,,,uav,battery_drain_rate,uav.battery_drain_rate,-0.3,0.35,completed,,True,graphrag_perturbed_-30%,5.159485101699829,19.58773899078369,49.80730128288269,19.58773899078369,30.219562292099,10.18810510635376,2448.0,34.79,True,True,True,78.17413187026978
robustness,robustness_uav.battery_drain_rate_-10%,,,,,uav,battery_drain_rate,uav.battery_drain_rate,-0.1,0.45,completed,,True,graphrag_perturbed_-10%,5.1601433753967285,9.803288698196411,40.78508186340332,9.803288698196411,30.98179316520691,10.218515396118164,2448.0,36.33,True,True,True,67.12269926071167
robustness,robustness_uav.battery_drain_rate_+0%,,,,,uav,battery_drain_rate,uav.battery_drain_rate,0,0.5,completed,,True,graphrag_perturbed_+0%,5.161824941635132,10.48167085647583,53.99148201942444,10.48167085647583,43.50981116294861,10.115635395050049,2880.0,1371.92,True,True,True,84.33210802078247
robustness,robustness_uav.battery_drain_rate_+10%,,,,,uav,battery_drain_rate,uav.battery_drain_rate,0.1,0.55,completed,,True,graphrag_perturbed_+10%,4.534120798110962,16.6388521194458,46.96839118003845,16.6388521194458,30.32953906059265,10.114166736602783,2520.0,508.34,True,True,True,72.68496966362
robustness,robustness_uav.battery_drain_rate_+30%,,,,,uav,battery_drain_rate,uav.battery_drain_rate,0.3,0.65,completed,,True,graphrag_perturbed_+30%,5.164480447769165,14.03405237197876,37.289090394973755,14.03405237197876,23.255038022994995,10.164852142333984,3060.0,1867.9,True,True,True,67.66600847244263
robustness,robustness_uav.battery_drain_rate_+50%,,,,,uav,battery_drain_rate,uav.battery_drain_rate,0.5,0.75,completed,,True,graphrag_perturbed_+50%,5.145832300186157,8.177055835723877,58.25217080116272,8.177055835723877,50.07511496543884,10.160248279571533,2304.0,2475.17,True,True,True,84.58185768127441
robustness,robustness_uav.max_speed_-50%,,,,,uav,max_speed,uav.max_speed,-0.5,0.15,completed,,True,graphrag_perturbed_-50%,5.15693998336792,36.36776328086853,49.993321895599365,36.36776328086853,13.625558614730835,10.14739990234375,2304.0,2480.06,True,True,True,77.33932685852051
robustness,robustness_uav.max_speed_-20%,,,,,uav,max_speed,uav.max_speed,-0.2,0.24,completed,,True,graphrag_perturbed_-20%,5.144434690475464,7.04296088218689,40.52562236785889,7.04296088218689,33.482661485672,10.11791467666626,3060.0,1868.18,True,True,True,67.88254642486572
robustness,robustness_uav.max_speed_+0%,,,,,uav,max_speed,uav.max_speed,0,0.3,completed,,True,graphrag_perturbed_+0%,5.035216569900513,12.200559377670288,37.62467932701111,12.200559377670288,25.42411994934082,10.246055126190186,1224.0,2690.66,True,True,False,63.86464881896973
robustness,robustness_uav.max_speed_+20%,,,,,uav,max_speed,uav.max_speed,0.2,0.36,completed,,True,graphrag_perturbed_+20%,3.7322089672088623,21.799434185028076,65.85915303230286,21.799434185028076,44.05971884727478,10.191457271575928,2052.0,1998.94,True,True,True,91.80737113952637
