实验类型,Agent类型,参数名称,变化比例,扰动值,RAG检索时间(s),LLM推理时间(s),总耗时(s),Robot仿真时间(s),Truck仿真时间(s),UAV仿真时间(s),Robot成功,Truck成功,UAV成功
鲁棒性实验,robot,battery_drain_per_sec,-50%,0.010,60.06,40.66,223.95,10.19,121.16,1.03,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,-30%,0.014,60.01,41.63,224.87,10.19,121.17,1.03,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,+0%,0.020,60.07,42.40,225.66,10.16,121.14,1.02,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,+30%,0.026,60.06,29.89,213.18,10.17,121.16,1.03,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,+50%,0.030,60.06,28.09,211.36,10.16,121.15,1.02,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,+100%,0.040,60.06,33.02,216.31,10.16,121.16,1.03,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,-50%,0.010,22.14,30.76,176.10,10.13,121.14,1.03,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,-30%,0.014,22.12,36.15,181.45,10.13,121.13,1.02,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,+0%,0.020,20.98,43.68,187.84,10.19,121.13,1.02,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,+30%,0.026,22.18,38.85,184.22,10.19,121.13,1.03,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,+50%,0.030,22.15,37.22,182.55,10.19,121.13,1.02,True,False,True
鲁棒性实验,robot,battery_drain_per_sec,+100%,0.040,22.16,76.04,221.40,10.24,121.13,1.02,True,False,True
鲁棒性实验,robot,speed_m_per_sec,-50%,0.50,60.06,33.49,216.75,10.18,121.14,1.03,True,False,True
鲁棒性实验,robot,speed_m_per_sec,-20%,0.80,60.06,23.99,207.23,10.15,121.12,1.03,True,False,True
鲁棒性实验,robot,speed_m_per_sec,+0%,1.00,60.06,30.54,213.84,10.18,121.17,1.03,True,False,True
鲁棒性实验,robot,speed_m_per_sec,+20%,1.20,60.06,31.67,214.95,10.18,121.16,1.03,True,False,True
鲁棒性实验,robot,speed_m_per_sec,+50%,1.50,60.02,33.45,216.70,10.16,121.17,1.03,True,False,True
鲁棒性实验,robot,speed_m_per_sec,-50%,0.50,22.16,46.84,192.20,10.21,121.14,1.02,True,False,True
鲁棒性实验,robot,speed_m_per_sec,-20%,0.80,22.14,35.52,180.86,10.17,121.14,1.02,True,False,True
鲁棒性实验,robot,speed_m_per_sec,+0%,1.00,22.17,46.79,192.15,10.18,121.14,1.03,True,False,True
鲁棒性实验,robot,speed_m_per_sec,+20%,1.20,22.13,30.54,175.86,10.17,121.13,1.02,True,False,True
鲁棒性实验,robot,speed_m_per_sec,+50%,1.50,22.15,40.22,185.57,10.31,121.12,1.02,True,False,True
鲁棒性实验,uav,battery_drain_rate,-50%,0.01,60.05,45.10,348.46,10.14,121.14,121.15,True,False,False
鲁棒性实验,uav,battery_drain_rate,-30%,0.014,60.04,28.98,212.28,10.16,121.20,1.03,True,False,True
鲁棒性实验,uav,battery_drain_rate,-10%,0.018,60.06,26.76,210.04,10.20,121.16,1.03,True,False,True
鲁棒性实验,uav,battery_drain_rate,+0%,0.02,60.07,71.22,254.51,10.16,121.16,1.02,True,False,True
鲁棒性实验,uav,battery_drain_rate,+10%,0.022,60.00,45.14,348.48,10.22,121.17,121.13,True,False,False
鲁棒性实验,uav,battery_drain_rate,+30%,0.026,60.00,47.84,231.04,10.21,121.14,1.03,True,False,True
鲁棒性实验,uav,battery_drain_rate,+50%,0.03,60.00,48.13,231.37,10.22,121.17,1.03,True,False,True
鲁棒性实验,uav,battery_drain_rate,-50%,0.01,25.80,52.71,201.70,10.17,121.13,1.02,True,False,True
鲁棒性实验,uav,battery_drain_rate,-30%,0.014,29.61,36.40,189.18,10.12,121.12,1.02,True,False,True
鲁棒性实验,uav,battery_drain_rate,-10%,0.018,25.22,53.57,201.95,10.18,121.11,1.02,True,False,True
鲁棒性实验,uav,battery_drain_rate,+0%,0.02,29.67,68.25,221.10,10.16,121.12,1.02,True,False,True
鲁棒性实验,uav,battery_drain_rate,+10%,0.022,26.30,37.29,186.77,10.15,121.13,1.02,True,False,True
鲁棒性实验,uav,battery_drain_rate,+30%,0.026,29.67,34.31,187.18,10.17,121.13,1.03,True,False,True
鲁棒性实验,uav,battery_drain_rate,+50%,0.03,21.68,77.44,222.31,10.17,121.14,1.02,True,False,True
鲁棒性实验,uav,max_speed,-50%,0.15,60.06,31.38,214.64,10.17,121.14,1.02,True,False,True
鲁棒性实验,uav,max_speed,-20%,0.24,60.06,37.78,221.07,10.23,121.16,1.03,True,False,True
鲁棒性实验,uav,max_speed,+0%,0.30,60.00,36.60,219.82,10.17,121.15,1.02,True,False,True
鲁棒性实验,uav,max_speed,+20%,0.36,60.04,53.37,236.63,10.18,121.16,1.03,True,False,True
鲁棒性实验,uav,max_speed,+50%,0.45,60.06,42.31,345.70,10.17,121.15,121.15,True,False,False
鲁棒性实验,uav,max_speed,-50%,0.15,29.58,45.54,198.29,10.23,121.11,1.02,True,False,True
鲁棒性实验,uav,max_speed,-20%,0.24,28.09,57.64,208.91,10.17,121.12,1.03,True,False,True
鲁棒性实验,uav,max_speed,+0%,0.30,29.67,71.17,344.14,10.14,121.12,121.14,True,False,False
鲁棒性实验,uav,max_speed,+20%,0.36,37.99,31.48,192.69,10.17,121.16,1.03,True,False,True
鲁棒性实验,uav,max_speed,+50%,0.45,28.11,57.83,209.14,10.20,121.14,1.02,True,False,True
