Agent类型,参数名称,变化比例,扰动值,平均总耗时(s),敏感度系数,敏感度级别
robot,battery_drain_per_sec,-50%,0.010,200.02,0.25,中敏感
robot,battery_drain_per_sec,-30%,0.014,203.16,0.25,中敏感
robot,battery_drain_per_sec,+0%,0.020,206.75,0.25,中敏感
robot,battery_drain_per_sec,+30%,0.026,198.70,0.25,中敏感
robot,battery_drain_per_sec,+50%,0.030,196.96,0.25,中敏感
robot,battery_drain_per_sec,+100%,0.040,218.85,0.25,中敏感
robot,speed_m_per_sec,-50%,0.50,204.47,0.12,低敏感
robot,speed_m_per_sec,-20%,0.80,194.04,0.12,低敏感
robot,speed_m_per_sec,+0%,1.00,203.00,0.12,低敏感
robot,speed_m_per_sec,+20%,1.20,195.40,0.12,低敏感
robot,speed_m_per_sec,+50%,1.50,201.14,0.12,低敏感
uav,battery_drain_rate,-50%,0.01,275.08,0.42,中敏感
uav,battery_drain_rate,-30%,0.014,200.73,0.42,中敏感
uav,battery_drain_rate,-10%,0.018,206.00,0.42,中敏感
uav,battery_drain_rate,+0%,0.02,237.81,0.42,中敏感
uav,battery_drain_rate,+10%,0.022,267.63,0.42,中敏感
uav,battery_drain_rate,+30%,0.026,209.11,0.42,中敏感
uav,battery_drain_rate,+50%,0.03,226.84,0.42,中敏感
uav,max_speed,-50%,0.15,206.47,-0.31,中敏感
uav,max_speed,-20%,0.24,214.99,-0.31,中敏感
uav,max_speed,+0%,0.30,281.98,-0.31,中敏感
uav,max_speed,+20%,0.36,214.66,-0.31,中敏感
uav,max_speed,+50%,0.45,277.42,-0.31,中敏感
