id,x,y,lon,lat
VTOL1,501815.5839,2504992.533,114.1718618,22.65195771
VTOL2,497459.0258,2507812.673,114.1294545,22.67743343
VTOL3,471847.7447,2516044.433,113.8799849,22.75156382
VTOL4,472771.8631,2510023.053,113.8890907,22.6971839
VTOL5,498515.1611,2496227.233,114.1397468,22.57277331
VTOL6,524126.4421,2516196.873,114.3891871,22.75300341
VTOL7,474620.0999,2518254.813,113.9069518,22.77157566
VTOL8,488085.825,2510327.933,114.0381885,22.70011565
VTOL9,515677.3597,2510861.473,114.3068381,22.70490476
VTOL10,490990.197,2490053.413,114.0665829,22.51697607
VTOL11,491122.2139,2496532.113,114.0678301,22.57550502
VTOL12,465774.9667,2512690.753,113.8209096,22.72115555
VTOL13,491782.2985,2504077.893,114.0742119,22.64367602
VTOL14,517921.6472,2499657.133,114.3285623,22.60366469
VTOL15,481616.9962,2491196.713,113.9754286,22.52722921
VTOL16,507360.2942,2501181.533,114.2258111,22.61751466
VTOL17,508020.3788,2514977.353,114.2323047,22.74214036
VTOL18,485181.4529,2513834.053,114.009877,22.73176603
VTOL19,486765.6558,2495236.373,114.0254618,22.56377106
VTOL20,512508.9538,2497904.073,114.2758848,22.58787631
VTOL21,512772.9876,2506288.273,114.2785216,22.66361594
VTOL22,512905.0045,2516273.093,114.2798889,22.75381537
VTOL23,475808.2521,2486623.513,113.9190128,22.48584261
VTOL24,527294.848,2509794.393,114.419936,22.69511718
VTOL25,527426.8649,2502401.053,114.4210922,22.62832559
VTOL26,478184.5565,2515129.793,113.9417185,22.74339529
VTOL27,478316.5734,2521456.053,113.9429163,22.80054618
VTOL28,479372.7087,2501791.293,113.953466,22.62291358
VTOL29,480428.844,2510023.053,113.9636406,22.69729003
VTOL30,519637.8671,2510404.153,114.3453949,22.70073202
VTOL31,519769.884,2506669.373,114.3466332,22.66699139
VTOL32,494290.6199,2512385.873,114.0985938,22.718739
VTOL33,470395.5587,2521913.373,113.8657292,22.80455648
VTOL34,496138.8566,2502172.393,114.1166167,22.62647754
VTOL35,502871.7192,2494779.053,114.1821226,22.55968877
VTOL36,505975.3522,2509975.803,114.2123682,22.69696605
VTOL37,486700.8829,2500676.963,114.0247858,22.61292025
